
13:44:25   0
⚠️  FUNCT: Tempo: 13.3/10s | Ação: click | Path: //*[@id="divPasso1"]/div/div[2]/div/div[5]/div[3]/div/input | Digitar: None | Erro: ElementClickInterceptedException

⚠️  FUNCT: Tempo: 3.3/3s | Ação: click | Path: //*[@id="ctl00_Conteudo_btnCotasSorteadas"] | Digitar: None | Erro: TimeoutException

⚠️  FUNCT: Tempo: 3.3/3s | Ação: click | Path: //*[@id="ctl00_Conteudo_btnCotasSorteadas"] | Digitar: None | Erro: TimeoutException

⚠️  FUNCT: Tempo: 3.4/3s | Ação: click | Path: //*[@id="ctl00_Conteudo_btnCotasSorteadas"] | Digitar: None | Erro: TimeoutException

⚠️  FUNCT: Tempo: 3.5/3s | Ação: click | Path: //*[@id="ctl00_Conteudo_btnCotasSorteadas"] | Digitar: None | Erro: TimeoutException

⚠️  FUNCT: Tempo: 3.5/3s | Ação: click | Path: //*[@id="ctl00_Conteudo_btnCotasSorteadas"] | Digitar: None | Erro: TimeoutException

⚠️  FUNCT: Tempo: 3.5/3s | Ação: click | Path: //*[@id="ctl00_Conteudo_btnCotasSorteadas"] | Digitar: None | Erro: TimeoutException

⚠️  FUNCT: Tempo: 3.4/3s | Ação: click | Path: //*[@id="ctl00_Conteudo_btnCotasSorteadas"] | Digitar: None | Erro: TimeoutException

⚠️  FUNCT: Tempo: 3.4/3s | Ação: click | Path: //*[@id="ctl00_Conteudo_btnCotasSorteadas"] | Digitar: None | Erro: TimeoutException

⚠️  FUNCT: Tempo: 3.4/3s | Ação: click | Path: //*[@id="ctl00_Conteudo_btnCotasSorteadas"] | Digitar: None | Erro: TimeoutException

⚠️  FUNCT: Tempo: 3.4/3s | Ação: click | Path: //*[@id="ctl00_Conteudo_btnCotasSorteadas"] | Digitar: None | Erro: TimeoutException

⚠️  FUNCT: Tempo: 3.4/3s | Ação: click | Path: //*[@id="ctl00_Conteudo_btnCotasSorteadas"] | Digitar: None | Erro: TimeoutException

⚠️  FUNCT: Tempo: 3.4/3s | Ação: click | Path: //*[@id="ctl00_Conteudo_btnCotasSorteadas"] | Digitar: None | Erro: TimeoutException

⚠️  FUNCT: Tempo: 3.4/3s | Ação: click | Path: //*[@id="ctl00_Conteudo_btnCotasSorteadas"] | Digitar: None | Erro: TimeoutException

⚠️  FUNCT: Tempo: 3.4/3s | Ação: click | Path: //*[@id="ctl00_Conteudo_btnCotasSorteadas"] | Digitar: None | Erro: TimeoutException

⚠️  FUNCT: Tempo: 3.3/3s | Ação: click | Path: //*[@id="ctl00_Conteudo_btnCotasSorteadas"] | Digitar: None | Erro: TimeoutException

⚠️  FUNCT: Tempo: 3.5/3s | Ação: click | Path: //*[@id="ctl00_Conteudo_btnCotasSorteadas"] | Digitar: None | Erro: TimeoutException

⚠️  FUNCT: Tempo: 3.4/3s | Ação: click | Path: //*[@id="ctl00_Conteudo_btnCotasSorteadas"] | Digitar: None | Erro: TimeoutException

⚠️  FUNCT: Tempo: 3.5/3s | Ação: click | Path: //*[@id="ctl00_Conteudo_btnCotasSorteadas"] | Digitar: None | Erro: TimeoutException

⚠️  FUNCT: Tempo: 3.3/3s | Ação: click | Path: //*[@id="ctl00_Conteudo_btnCotasSorteadas"] | Digitar: None | Erro: TimeoutException

⚠️  FUNCT: Tempo: 3.4/3s | Ação: click | Path: //*[@id="ctl00_Conteudo_btnCotasSorteadas"] | Digitar: None | Erro: TimeoutException

⚠️  FUNCT: Tempo: 3.5/3s | Ação: click | Path: //*[@id="ctl00_Conteudo_btnCotasSorteadas"] | Digitar: None | Erro: TimeoutException

⚠️  FUNCT: Tempo: 3.4/3s | Ação: click | Path: //*[@id="ctl00_Conteudo_btnCotasSorteadas"] | Digitar: None | Erro: TimeoutException

⚠️  FUNCT: Tempo: 3.4/3s | Ação: click | Path: //*[@id="ctl00_Conteudo_btnCotasSorteadas"] | Digitar: None | Erro: TimeoutException

⚠️  FUNCT: Tempo: 3.4/3s | Ação: click | Path: //*[@id="ctl00_Conteudo_btnCotasSorteadas"] | Digitar: None | Erro: TimeoutException

